location,lat,lon,name,address,description,furnishing,facing,water,bathroom,security,non-veg,lift,AC,swimming pool,servant room,gas,sewage treatment,visitor parking,gym,club house,children play area,park,house keeping,internet,intercom,fire safety,shopping center,water harvest,power backup,rent,builtup,deposit,bedroom,house type,preferred tenants,availability,parking,age,balcony
Anna Nagar,13.088,80.201,Sree Guru Enclave Anna Nagar West - 3 BHK in Anna Nagar West for Rent,"Sree Guru Enclave, Café Coffee Day, 5th Main Rd, Anna Nagar West, S Block, Anna Nagar, Chennai","The house is semi furnished with wardrobes,modular kitchen,Kitchen cabinets , Chimney , pooja room, two cars garage, geyser,tube lights, fans and electrical fittings. Covered car & bike parking ",Semi,South,Both,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,28000/M,1550,280000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,3
Anna Nagar,13.092,80.208,VUYT Castle Anna Nagar - 1 RK in Anna Nagar for Rent,"Vuyt Castle, Near Chinmaya Vidyalaya Senior Secondary School, Anna Nagar Road, G Block, Anna Nagar, Chennai","The house is Semi furnished. with cupboards , Kitchen covered with shelves , Kitchen cabinets , lights - fans , Covered car & bike parking . It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,East,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,15000/M,500,60000,1 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,1-3 years,1
Anna Nagar,13.089,80.21,Meghna foundations Anna Nagar - 2 BHK in Anna Nagar for Rent,"Meghna Foundations, 7th Main Road Near Sundaram Medical Foundation","The house is semi furnished with Wardrobes and basic electric fittings.It has easy access to market, schools, hospitals, banks and ATM's as well",Semi,North,Both,2,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,20000/M,1000,100000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,5-10 years,4
Anna Nagar,13.081,80.213,Not disclosed Anna Nagar - 2 BHK in Anna Nagar for Rent,"Not Disclosed, Ai Block, Near Global Hearing Aid Centre Pvt Ltd","The house is fully furnished with wardrobes, modular kitchen, tv, washing machine, microwave and water purifier,a/c, refrigerator,tube light, geyser, fans and electrical fittings.
There is also small office along with the 2 bhk for ren",Full,East,Both,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,75000/M,1380,750000,2 Bedroom,Apartment,Company, Immediately,Bike and Car,Newly Constructed,1
Anna Nagar,13.082,80.207,Not Disclosed Anna Nagar - 2 BHK in Anna Nagar for Rent,"Not Disclosed, Shanthi Colony, Near Sundaram Medical Foundation",Not available,Full,NA,Both,2,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,36000/M,1100,240000,2 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,>10 years,1
Anna Nagar,13.095,80.202,Independent House Anna Nagar - 2 BHK in Anna Nagar for Rent,"Independent House, Kambar Colony, I Block Near State Bank Of India 18th Main Road Branch","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well.
working professional/family/ bachelors preferred 4 to 5 member",Unfurnished,South,Corporation,2,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,Yes,No,13000/M,850,60000,2 Bedroom,Apartment,Doesn't Matter,Immediately,Bike,>10 years,0
Anna Nagar,13.089,80.201,Crystal Creek Anna Nagar West - 3 BHK in Anna Nagar West for Rent,"Crystal Creek, 13th Main Road, H Block, Near Sri Devi Hospital",Not available,Semi,East,Both,3,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,35000/M,1500,350000,3 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,1
Anna Nagar,13.085,80.201,Standalone Building Anna Nagar West - 1 BHK in Anna Nagar West for Rent,"Standalone Building, Nehru Nagar 1st Street Near Grt Jewellers","The house is unfurnished. It has easy access to market, schools, hospitals, banks and ATM's as well.
Family and Working Professional Bachelors",Unfurnished,North,Both,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10000/M,350,50000,1 Bedroom,Apartment,Doesn't Matter, Immediately,Bike,1-3 years,1
Anna Nagar,13.084,80.206,Independent House Anna Nagar - 2 BHK in Anna Nagar for Rent,"Independent House, Af Block, 4th Street, 11th Main Road, Near The Grand Sweets N Snacks","Semi-furnished with Cupboards, light",Semi,South,Both,1,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,14000/M,780,84000,2 Bedroom,Independent house,Family, Immediately,Bike,3-5 years,4
Anna Nagar,13.095,80.202,Scotts Place Anna Nagar - 2 BHK in Anna Nagar for Rent,"Scotts Place, 18th Main Rd, Colony, Near Reliance Fresh",Not available,Unfurnished,South,Both,2,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,19500/M,950,100000,2 Bedroom,Apartment,Family, Immediately,Bike and Car,5-10 years,0
Arumbakkam,13.074,80.212,Green valley Arumbakkam - 3 BHK in Arumbakkam for Rent,"Green Valley, 1st Street, Sbi Staff Colony, Near Dwaraka Doss Goverdhan Doss Vaishnav College",Not available,Semi,South,Both,2,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,24000/M,1400,200000,3 Bedroom,Apartment,Doesn't Matter, Immediately,Bike and Car,5-10 years,3
Arumbakkam,13.069,80.208,Independent House Arumbakkam - 1 BHK in Arumbakkam for Rent,"Independent House, Jai Nagar 21st Street Near Jai Nagar Park",Not available,Semi,NA,NA,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,10000/M,600,100000,1 Bedroom,Independent house,Family, Immediately,Bike,1-3 years,1
Arumbakkam,13.069,80.208,Indira Arcade Arumbakkam - 2 BHK in Arumbakkam for Rent,"Indira Arcade, 1st Main Road, Jai Nagar, Near Jai Nagar Park",Not available,Semi,South,Corporation,2,Yes,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,16500/M,900,80000,2 Bedroom,Apartment,Family, Immediately,Car,5-10 years,1
Arumbakkam,13.074,80.202,Independent House Koyambedu - 2 BHK in Koyambedu for Rent,"Independent House, Near Nathella Sulochanamma Kalyaana Mandapam",Not available,Semi,NA,Both,2,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,14000/M,1810,60000,2 Bedroom,Independent house,Family, Immediately,Bike and Car,>10 years,1
